PID,PI_S1_R3_20_5_A,PI_S1_R3_I31_7_A,PI_S1_R3_14_1_A,PI_S1_R2_6_1_E,PI_S1_R2_7_2_E,PI_S1_R2_9_2_E,PI_S1_R3_I23_3_J,PI_S1_R3_I23_3_E,PI_S1_R2_10_1_E,PI_S1_R3_I24_3_E,PI_S1_R3_I26_2_A,PI_S1_R2_13_1_J,PI_S1_R3_3_3_A,PI_S1_R3_I41_2_E,PI_S1_R3_4_2_E,PI_S1_R2_14_1_J,PI_S1_R3_15_2_E,PI_S1_R3_3_2_A,manipulation_check_1,PII_S2_R3_I40_3_E,PII_S2_R3_4_1_A,PII_S2_R3_5_4_E,PII_S2_R3_20_3_E,PII_S2_R3_I33_1_A,PII_S2_R3_17_2_A,PII_S2_R3_22_3_E,PII_S2_R2_8_2_E,PII_S2_R2_21_3_J,PII_S2_R3_13_2_E,PII_S2_R3_I30_2_A,PII_S2_R3_10_3_J,PII_S2_R3_5_7_E,PII_S2_R3_13_2_J,PII_S2_R3_6_2_A,PII_S2_R3_I40_1_A,PII_S2_R3_2_1_A,PII_S2_R3_I23_2_J,manipulation_check_2,PIII_S3_R2_20_1_J,PIII_S3_R3_12_2_E,PIII_S3_R3_I35_2_E,PIII_S3_R3_I32_3_A,PIII_S3_R3_24_3_A,PIII_S3_R2_6_2_E,PIII_S3_R3_I26_1_A,PIII_S3_R3_11_5_A,PIII_S3_R3_I38_4_E,PIII_S3_R3_5_6_E,PIII_S3_R3_19_3_E,PIII_S3_R3_10_3_E,PIII_S3_R3_16_1_A,PIII_S3_R3_6_1_J,PIII_S3_R3_I36_6_A,PIII_S3_R3_5_1_J,PIII_S3_R3_6_2_E,PIII_S3_R3_12_1_J,manipulation_check_3,PII_S3_R2_20_1_J,PII_S3_R3_12_2_E,PII_S3_R3_I35_2_E,PII_S3_R3_I32_3_A,PII_S3_R3_24_3_A,PII_S3_R2_6_2_E,PII_S3_R3_I26_1_A,PII_S3_R3_11_5_A,PII_S3_R3_I38_4_E,PII_S3_R3_5_6_E,PII_S3_R3_19_3_E,PII_S3_R3_10_3_E,PII_S3_R3_16_1_A,PII_S3_R3_6_1_J,PII_S3_R3_I36_6_A,PII_S3_R3_5_1_J,PII_S3_R3_6_2_E,PII_S3_R3_12_1_J,manipulation_check_3,PIII_S2_R3_I40_3_E,PIII_S2_R3_4_1_A,PIII_S2_R3_5_4_E,PIII_S2_R3_20_3_E,PIII_S2_R3_I33_1_A,PIII_S2_R3_17_2_A,PIII_S2_R3_22_3_E,PIII_S2_R2_8_2_E,PIII_S2_R2_21_3_J,PIII_S2_R3_13_2_E,PIII_S2_R3_I30_2_A,PIII_S2_R3_10_3_J,PIII_S2_R3_5_7_E,PIII_S2_R3_13_2_J,PIII_S2_R3_6_2_A,PIII_S2_R3_I40_1_A,PIII_S2_R3_2_1_A,PIII_S2_R3_I23_2_J,manipulation_check_2,PI_S2_R3_I40_3_E,PI_S2_R3_4_1_A,PI_S2_R3_5_4_E,PI_S2_R3_20_3_E,PI_S2_R3_I33_1_A,PI_S2_R3_17_2_A,PI_S2_R3_22_3_E,PI_S2_R2_8_2_E,PI_S2_R2_21_3_J,PI_S2_R3_13_2_E,PI_S2_R3_I30_2_A,PI_S2_R3_10_3_J,PI_S2_R3_5_7_E,PI_S2_R3_13_2_J,PI_S2_R3_6_2_A,PI_S2_R3_I40_1_A,PI_S2_R3_2_1_A,PI_S2_R3_I23_2_J,manipulation_check_2,PII_S1_R3_20_5_A,PII_S1_R3_I31_7_A,PII_S1_R3_14_1_A,PII_S1_R2_6_1_E,PII_S1_R2_7_2_E,PII_S1_R2_9_2_E,PII_S1_R3_I23_3_J,PII_S1_R3_I23_3_E,PII_S1_R2_10_1_E,PII_S1_R3_I24_3_E,PII_S1_R3_I26_2_A,PII_S1_R2_13_1_J,PII_S1_R3_3_3_A,PII_S1_R3_I41_2_E,PII_S1_R3_4_2_E,PII_S1_R2_14_1_J,PII_S1_R3_15_2_E,PII_S1_R3_3_2_A,manipulation_check_1,PIII_S1_R3_20_5_A,PIII_S1_R3_I31_7_A,PIII_S1_R3_14_1_A,PIII_S1_R2_6_1_E,PIII_S1_R2_7_2_E,PIII_S1_R2_9_2_E,PIII_S1_R3_I23_3_J,PIII_S1_R3_I23_3_E,PIII_S1_R2_10_1_E,PIII_S1_R3_I24_3_E,PIII_S1_R3_I26_2_A,PIII_S1_R2_13_1_J,PIII_S1_R3_3_3_A,PIII_S1_R3_I41_2_E,PIII_S1_R3_4_2_E,PIII_S1_R2_14_1_J,PIII_S1_R3_15_2_E,PIII_S1_R3_3_2_A,manipulation_check_1,PI_S3_R2_20_1_J,PI_S3_R3_12_2_E,PI_S3_R3_I35_2_E,PI_S3_R3_I32_3_A,PI_S3_R3_24_3_A,PI_S3_R2_6_2_E,PI_S3_R3_I26_1_A,PI_S3_R3_11_5_A,PI_S3_R3_I38_4_E,PI_S3_R3_5_6_E,PI_S3_R3_19_3_E,PI_S3_R3_10_3_E,PI_S3_R3_16_1_A,PI_S3_R3_6_1_J,PI_S3_R3_I36_6_A,PI_S3_R3_5_1_J,PI_S3_R3_6_2_E,PI_S3_R3_12_1_J,manipulation_check_3,education,field,field_6_TEXT,gender,gender_5_TEXT,birth_year,location,info_search,info_search_service,chatbots,social_orientation_1,social_orientation_2
36,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,,TRANSLATED,,,ORIGINAL,ORIGINAL,,,ORIGINAL,TRANSLATED,,I don't know,ORIGINAL,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,,,,,TRANSLATED,,,,TRANSLATED,I don't know,ORIGINAL,ORIGINAL,,ORIGINAL,,,ORIGINAL,,,TRANSLATED,,ORIGINAL,,,ORIGINAL,ORIGINAL,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Associate degree in college (2-year),Social & Behavioral Sciences,,Male,,1986,"Westmont, Illinois",Yes,I have never used assistance services when traveling,Five or above,Somewhat disagree,Disagree
37,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,,ORIGINAL,ORIGINAL,,,,ORIGINAL,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,,TRANSLATED,,,TRANSLATED,TRANSLATED,,TRANSLATED,,TRANSLATED,TRANSLATED,TRANSLATED,TRANSLATED,I don't know,,,,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,,ORIGINAL,,,I don't know,Some college but no degree,Health and Biological Sciences,,Male,,2001,"San Antonio, Texas, United States",Yes,I have never used assistance services when traveling,Three,Strongly Agree,Agree
38,,ORIGINAL,ORIGINAL,TRANSLATED,,,ORIGINAL,ORIGINAL,,TRANSLATED,,,,,ORIGINAL,ORIGINAL,,TRANSLATED,I don't know,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,,,ORIGINAL,,,,TRANSLATED,,TRANSLATED,,,ORIGINAL,TRANSLATED,I don't know,TRANSLATED,,ORIGINAL,,,TRANSLATED,ORIGINAL,,,ORIGINAL,TRANSLATED,,ORIGINAL,,,ORIGINAL,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master's degree,STEM,,Male,,1988,United States north carolina,Yes,I have never used assistance services when traveling,Five or above,Disagree,Disagree
39,,ORIGINAL,,,,ORIGINAL,TRANSLATED,ORIGINAL,,TRANSLATED,,ORIGINAL,,TRANSLATED,,ORIGINAL,NONE,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,,,TRANSLATED,,,,,ORIGINAL,ORIGINAL,,,TRANSLATED,TRANSLATED,I don't know,,,TRANSLATED,,TRANSLATED,ORIGINAL,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Associate degree in college (2-year),"Law, Economics, and Management",,Male,,1979,Illinois,Yes,I have never used assistance services when traveling,I have never interacted with chatbots,Neither agree nor disagree,Somewhat agree
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,,TRANSLATED,TRANSLATED,,,,TRANSLATED,TRANSLATED,TRANSLATED,,TRANSLATED,ORIGINAL,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,TRANSLATED,,ORIGINAL,,,,,,,TRANSLATED,ORIGINAL,,ORIGINAL,TRANSLATED,ORIGINAL,,I don't know,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,,ORIGINAL,,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Arts and Humanities,,Female,,1976,"Phoenix, Arizona, USA",Yes,One,Five or above,Strongly Agree,Somewhat agree
41,TRANSLATED,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,,,,TRANSLATED,,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,,,,ORIGINAL,ORIGINAL,,,TRANSLATED,ORIGINAL,,ORIGINAL,,TRANSLATED,TRANSLATED,I don't know,TRANSLATED,,ORIGINAL,,,ORIGINAL,ORIGINAL,,TRANSLATED,,,ORIGINAL,,TRANSLATED,,,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doctoral degree,Social & Behavioral Sciences,,Female,,1977,Wilton/CT,Yes,I have never used assistance services when traveling,I have never interacted with chatbots,Neither agree nor disagree,Neither agree nor disagree
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,ORIGINAL,,,ORIGINAL,ORIGINAL,,,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,,,ORIGINAL,,,,TRANSLATED,,ORIGINAL,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,ORIGINAL,,,,ORIGINAL,,,,ORIGINAL,,ORIGINAL,ORIGINAL,,,,ORIGINAL,I don't know,Master's degree,Health and Biological Sciences,,Female,,1969,,Yes,I have never used assistance services when traveling,I have never interacted with chatbots,Agree,Agree
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,,,,ORIGINAL,,TRANSLATED,TRANSLATED,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,,ORIGINAL,,,I don't know,,ORIGINAL,,,TRANSLATED,ORIGINAL,TRANSLATED,,,TRANSLATED,TRANSLATED,ORIGINAL,,TRANSLATED,,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Other:,Business,Male,,1985,United States (Ohio),Yes,I have never used assistance services when traveling,Three,Disagree,Disagree
44,ORIGINAL,ORIGINAL,,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,,ORIGINAL,,I don't know,,,,ORIGINAL,,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,,ORIGINAL,ORIGINAL,I don't know,,,ORIGINAL,,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,,TRANSLATED,,ORIGINAL,ORIGINAL,,,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,Other:,education,Female,,1997,"Dayton, Ohio",Yes,I have never used assistance services when traveling,Five or above,Somewhat disagree,Somewhat disagree
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,,ORIGINAL,,ORIGINAL,,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,TRANSLATED,,ORIGINAL,,ORIGINAL,,,,,ORIGINAL,ORIGINAL,TRANSLATED,TRANSLATED,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,,TRANSLATED,TRANSLATED,ORIGINAL,ORIGINAL,,TRANSLATED,TRANSLATED,TRANSLATED,I don't know,High school graduate (high school diploma or equivalent including GED),Other:,N/A,Female,,1990,"Salem, OR",Yes,I have never used assistance services when traveling,I have never interacted with chatbots,Disagree,Disagree
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,,,,,TRANSLATED,TRANSLATED,ORIGINAL,,,,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,TRANSLATED,,ORIGINAL,,TRANSLATED,ORIGINAL,,ORIGINAL,TRANSLATED,,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,,,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,,,,ORIGINAL,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,Some college but no degree,Other:,Healthcare,Male,,1993,New jersey,Yes,I have never used assistance services when traveling,Five or above,Somewhat disagree,Somewhat agree
47,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,ORIGINAL,,TRANSLATED,,,,,ORIGINAL,,ORIGINAL,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,TRANSLATED,,,,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,TRANSLATED,,TRANSLATED,,,,ORIGINAL,,I don't know,,,TRANSLATED,,ORIGINAL,TRANSLATED,,,TRANSLATED,,TRANSLATED,,,ORIGINAL,,TRANSLATED,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Associate degree in college (2-year),STEM,,Male,,1988,Orlando/Florida,Yes,,Five or above,Somewhat agree,Somewhat agree
48,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,TRANSLATED,,ORIGINAL,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,,TRANSLATED,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,ORIGINAL,,ORIGINAL,,,,,I don't know,ORIGINAL,,TRANSLATED,,,,TRANSLATED,TRANSLATED,,ORIGINAL,,,ORIGINAL,TRANSLATED,ORIGINAL,TRANSLATED,,,I don't know,Bachelor's degree in college (4-year),Health and Biological Sciences,,Female,,1994,"Jacksonville, Florida",Yes,I have never used assistance services when traveling,Two,Strongly Agree,Agree
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,TRANSLATED,,,ORIGINAL,,,,ORIGINAL,,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,,,ORIGINAL,,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,,,ORIGINAL,ORIGINAL,TRANSLATED,TRANSLATED,,,,,I don't know,,,,,,,,,,,,,,,,,,,,High school graduate (high school diploma or equivalent including GED),STEM,,Female,,1991,"Evansville, IN",Yes,Four,Five or above,Neither agree nor disagree,Neither agree nor disagree
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,ORIGINAL,,ORIGINAL,,ORIGINAL,,ORIGINAL,TRANSLATED,ORIGINAL,,TRANSLATED,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,,ORIGINAL,,ORIGINAL,,,,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,ORIGINAL,,TRANSLATED,TRANSLATED,,ORIGINAL,,TRANSLATED,,,TRANSLATED,,,,TRANSLATED,I don't know,Associate degree in college (2-year),"Law, Economics, and Management",,Female,,1993,United States,Yes,Two,Two,Disagree,Disagree
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,ORIGINAL,,,,,TRANSLATED,,,TRANSLATED,,TRANSLATED,ORIGINAL,ORIGINAL,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,,ORIGINAL,,ORIGINAL,TRANSLATED,,,,ORIGINAL,TRANSLATED,ORIGINAL,,TRANSLATED,I don't know,ORIGINAL,TRANSLATED,,,ORIGINAL,,ORIGINAL,,TRANSLATED,ORIGINAL,,TRANSLATED,ORIGINAL,,,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Professional degree (JD, MD)",STEM,,Male,,1992,"Pensacola, FL",Yes,Three,Five or above,Agree,Agree
52,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,ORIGINAL,,,,ORIGINAL,ORIGINAL,TRANSLATED,,TRANSLATED,ORIGINAL,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,,,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,I don't know,,ORIGINAL,,TRANSLATED,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,ORIGINAL,TRANSLATED,,,,,,ORIGINAL,,I don't know,Some college but no degree,Other:,Retail,Male,,1999,San Tan Valley AZ,No,I have never used assistance services when traveling,Five or above,Somewhat agree,Agree
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,,TRANSLATED,TRANSLATED,,,ORIGINAL,ORIGINAL,,TRANSLATED,,TRANSLATED,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,,ORIGINAL,,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,,,ORIGINAL,,TRANSLATED,TRANSLATED,,ORIGINAL,ORIGINAL,,TRANSLATED,,,I don't know,,,,,,,,,,,,,,,,,,,,"Professional degree (JD, MD)",Health and Biological Sciences,,Female,,1986,Tampa Fl,Yes,Five or above,Five or above,Strongly disagree,Somewhat disagree
54,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,TRANSLATED,,,,ORIGINAL,,,ORIGINAL,ORIGINAL,,,TRANSLATED,,I don't know,,TRANSLATED,,TRANSLATED,,ORIGINAL,,,ORIGINAL,TRANSLATED,ORIGINAL,,,ORIGINAL,,TRANSLATED,,ORIGINAL,I don't know,TRANSLATED,,TRANSLATED,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,,,TRANSLATED,,,ORIGINAL,,,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),STEM,,Male,,1990,Philadelphia,Yes,,,Disagree,Disagree
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,,,,ORIGINAL,TRANSLATED,,ORIGINAL,,TRANSLATED,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,TRANSLATED,,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,,,,ORIGINAL,ORIGINAL,,,,,I don't know,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Health and Biological Sciences,,Female,,1992,"pensacola, fl",Yes,Two,One,Disagree,Somewhat agree
56,,,,ORIGINAL,,,TRANSLATED,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,,I don't know,,,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,TRANSLATED,,TRANSLATED,,ORIGINAL,ORIGINAL,,,I don't know,,TRANSLATED,TRANSLATED,,ORIGINAL,TRANSLATED,,,ORIGINAL,,,,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than high school degree,Other:,N/A,Female,,1998,USA Michigan,No,I have never used assistance services when traveling,,Somewhat agree,Agree
57,,,TRANSLATED,TRANSLATED,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,,I don't know,ORIGINAL,,ORIGINAL,ORIGINAL,,,ORIGINAL,,ORIGINAL,,TRANSLATED,,,ORIGINAL,TRANSLATED,,ORIGINAL,,I don't know,TRANSLATED,,,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,TRANSLATED,,,,,TRANSLATED,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,,Female,,1994,"Raleigh, NC",Yes,Two,One,Strongly disagree,Somewhat agree
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,TRANSLATED,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,,TRANSLATED,TRANSLATED,TRANSLATED,,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,,,ORIGINAL,,TRANSLATED,,,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,TRANSLATED,,,,,,,,ORIGINAL,ORIGINAL,,TRANSLATED,I don't know,Some college but no degree,Social & Behavioral Sciences,,Female,,1998,"New York, NY",Yes,I have never used assistance services when traveling,Five or above,Strongly disagree,Strongly disagree
59,TRANSLATED,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,,,,,,,TRANSLATED,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,,ORIGINAL,,,TRANSLATED,,TRANSLATED,,,,ORIGINAL,I don't know,NONE,ORIGINAL,TRANSLATED,ORIGINAL,,,,ORIGINAL,,ORIGINAL,,,ORIGINAL,TRANSLATED,,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master's degree,"Law, Economics, and Management",,Male,,1986,Boston Ma,Yes,I have never used assistance services when traveling,I have never interacted with chatbots,Somewhat agree,Neither agree nor disagree
60,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,,,ORIGINAL,,TRANSLATED,NONE,TRANSLATED,TRANSLATED,,ORIGINAL,ORIGINAL,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,TRANSLATED,,ORIGINAL,,,,,TRANSLATED,,ORIGINAL,NONE,TRANSLATED,,,ORIGINAL,I don't know,TRANSLATED,,TRANSLATED,,,,NONE,ORIGINAL,,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,I don't know,Some college but no degree,Other:,Management,Female,,1968,"Texas, USA",Yes,I have never used assistance services when traveling,One,Neither agree nor disagree,Neither agree nor disagree
