Target Style, Filename, Line Number, Original Sentence, Modified Sentence, Feature replaced, Feature attributed
DailyDialog,R1\guide_6_conversation.txt,4,Would they be interested in a scenic drive? The loop road up at Sunset Crater and Wupatki national monuments would be a perfect place to visit to still take in the sights but without any hiking.,would they enjoy a scenic drive? the loop road up at sunset crater and wupatki national monuments would be a place to visit to enjoy the sights without any hiking.,but with,with
DailyDialog,R1\guide_6_conversation.txt,5,Absolutely. That loop road would be perfect for them and depending on when they visit you could also take them up to the Arizona Snowbowl for the scenic chairlift ride. It brings you up to about 11500ft and you can see the Grand Canyon in the distance from the top. If they'd like a short walk around downtown there is a historic walking tour brochure at the Flagstaff Visitor Center and it's an easy walk where you can also learn the history of the town and check out the local shops and galleries.,absolutely. that loop road would be perfect depending on when they visit you could take them up to the arizona snowbowl to do the chairlift ride. it brings you up to about 11500ft. you can see the grand canyon in the distance from the top. would they like a walk around downtown? we have a historic tour brochure at our visitor center. it's a walk where you can learn the history of the town and visit the shops and galleries.,and depending,depending
DailyDialog,R1\guide_6_conversation.txt,10,Not to worry I understood! I'm looking at Flagstaff365.com and I see that there are quite a few concert series going on in August.,not to worry i understood! i'm looking at flagstaff365.com i see that we have quite a few concerts happening august.,and i see,i see
DailyDialog,R1\guide_6_conversation.txt,17, We don't have as much information for the Phoenix area unfortunately. I do know that they have a downtown First Friday event like we do here in Flagstaff but also keep in mind that in August Phoenix will be significantly hotter than here in Flagstaff. Where we'll be in the 80s they can be in the 110-120 range., we don't have as much details for phoenix unfortunately. i do know that there's a downtown first friday event like we do here just know that in august phoenix will be hotter than here. where we'll be in the 80s they can be in the 110-120.,but also remember,just know
DailyDialog,R1\guide_6_conversation.txt,13,Flagstaff 365 is the events website for Flagstaff and they update nearly every day with more events and activites,flagstaff365 is the events website for flagstaff they update the events and activites nearly every day,and they update,they update
DailyDialog,R1\guide_6_conversation.txt,5,Absolutely. That loop road would be perfect for them and depending on when they visit you could also take them up to the Arizona Snowbowl for the scenic chairlift ride. It brings you up to about 11500ft and you can see the Grand Canyon in the distance from the top. If they'd like a short walk around downtown there is a historic walking tour brochure at the Flagstaff Visitor Center and it's an easy walk where you can also learn the history of the town and check out the local shops and galleries.,absolutely. that loop road would be perfect depending on when they visit you could take them up to the arizona snowbowl to do the chairlift ride. it brings you up to about 11500ft. you can see the grand canyon in the distance from the top. would they like a walk around downtown? we have a historic tour brochure at our visitor center. it's a walk where you can learn the history of the town and visit the shops and galleries.,there's a historic walking tour brochure at our,we have a historic tour brochure at our
DailyDialog,R1\guide_6_conversation.txt,6,At the Flagstaff Visitor Center we have a guide called Explore Flagstaff that gives a 5-day itinerary that you can easily expand into 10 days.,at our visitor center we have a guide that gives you a 5-day itinerary that you can expand into 10 days. The name is explore flagstaff,we have a guide called explore flagstaff that gives you a 5-day itinerary that you can expand into 10 days.,we have a guide that gives you a 5-day itinerary that you can expand into 10 days. The name is explore flagstaff
DailyDialog,R1\guide_6_conversation.txt,17, We don't have as much information for the Phoenix area unfortunately. I do know that they have a downtown First Friday event like we do here in Flagstaff but also keep in mind that in August Phoenix will be significantly hotter than here in Flagstaff. Where we'll be in the 80s they can be in the 110-120 range., we don't have as much details for phoenix unfortunately. i do know that there's a downtown first friday event like we do here just know that in august phoenix will be hotter than here. where we'll be in the 80s they can be in the 110-120.,significantly ,
DailyDialog,R1\guide_6_conversation.txt,5,Absolutely. That loop road would be perfect for them and depending on when they visit you could also take them up to the Arizona Snowbowl for the scenic chairlift ride. It brings you up to about 11500ft and you can see the Grand Canyon in the distance from the top. If they'd like a short walk around downtown there is a historic walking tour brochure at the Flagstaff Visitor Center and it's an easy walk where you can also learn the history of the town and check out the local shops and galleries.,absolutely. that loop road would be perfect depending on when they visit you could take them up to the arizona snowbowl to do the chairlift ride. it brings you up to about 11500ft. you can see the grand canyon in the distance from the top. would they like a walk around downtown? we have a historic tour brochure at our visitor center. it's a walk where you can learn the history of the town and visit the shops and galleries.,could also take,could take
DailyDialog,R1\guide_6_conversation.txt,4,Would they be interested in a scenic drive? The loop road up at Sunset Crater and Wupatki national monuments would be a perfect place to visit to still take in the sights but without any hiking.,would they enjoy a scenic drive? the loop road up at sunset crater and wupatki national monuments would be a place to visit to enjoy the sights without any hiking.,visit to still enjoy,visit to enjoy
DailyDialog,R1\guide_6_conversation.txt,13,Flagstaff 365 is the events website for Flagstaff and they update nearly every day with more events and activites,flagstaff365 is the events website for flagstaff they update the events and activites nearly every day,flagstaff 365,flagstaff365
DailyDialog,R1\guide_6_conversation.txt,2,Absolutely! What kinds of things do they like to do and what is the age range of the group?,absolutely! what things do they like to do and what's the age range ?,  , 
DailyDialog,R1\guide_6_conversation.txt,22,The Orpheum is a concert venue but it also has a bar in it that is only open during performances.,the orpheum is a concert venue but it also has a bar that's only open during performances.,  , 
DailyDialog,R1\guide_6_conversation.txt,23,Not a problem thank you for letting me know! The Museum Club isn't an actual museum - it's a country music venue and is original to Route 66. You can see their schedule on their website at <link>,not a problem thank you for letting me know! the museum club isn't really a museum - it's a country music venue and is original to route 66. you can see the schedule on the website <link>,  , 
DailyDialog,R2\guide_10_conversation_E.txt,2,"I would say the Grand Canyon it's iconic and on many ""bucket lists"". Sedona is closer however (30 minutes vs. 1.5 hours) so if you are pressed for time I would say that the red rocks of Sedona are definitely worth seeing.","i'd say the grand canyon it's iconic and on many ""bucket lists"". sedona is the closest one however (30 minutes vs. 1.5 hours) so in case that time concerns you i believe that the red rocks are definitely worth seeing.",you are ,you're 
DailyDialog,R2\guide_10_conversation_E.txt,2,"I would say the Grand Canyon it's iconic and on many ""bucket lists"". Sedona is closer however (30 minutes vs. 1.5 hours) so if you are pressed for time I would say that the red rocks of Sedona are definitely worth seeing.","i'd say the grand canyon it's iconic and on many ""bucket lists"". sedona is the closest one however (30 minutes vs. 1.5 hours) so in case that time concerns you i believe that the red rocks are definitely worth seeing.",i would,i'd
DailyDialog,R2\guide_10_conversation_E.txt,1,Hello. If you want a Southwest-style breakfast (on the spicy side) go to Martanne's (112 Historic Rte 66). For frou-frou breakfast with lots of options Toasted Owl is good (12 S Mikes Pike St). And tradition breakfast with big portions go to Mike & Ronda's The Place (21 S. Milton).,hello. if you want a southwest-style breakfast (on the spicy side) i guess you should visit martanne's (112 historic rte 66). i think ToastedOwl is good to have a frou-frou breakfast with many options (12 s mikes pike st). and tradition breakfast with big portions i'd prefer visiting mike & ronda's the place (21 s. milton).,lots of options,many options
DailyDialog,R2\guide_10_conversation_E.txt,1,Hello. If you want a Southwest-style breakfast (on the spicy side) go to Martanne's (112 Historic Rte 66). For frou-frou breakfast with lots of options Toasted Owl is good (12 S Mikes Pike St). And tradition breakfast with big portions go to Mike & Ronda's The Place (21 S. Milton).,hello. if you want a southwest-style breakfast (on the spicy side) i guess you should visit martanne's (112 historic rte 66). i think ToastedOwl is good to have a frou-frou breakfast with many options (12 s mikes pike st). and tradition breakfast with big portions i'd prefer visiting mike & ronda's the place (21 s. milton).,for frou,to have a frou
DailyDialog,R2\guide_10_conversation_E.txt,2,"I would say the Grand Canyon it's iconic and on many ""bucket lists"". Sedona is closer however (30 minutes vs. 1.5 hours) so if you are pressed for time I would say that the red rocks of Sedona are definitely worth seeing.","i'd say the grand canyon it's iconic and on many ""bucket lists"". sedona is the closest one however (30 minutes vs. 1.5 hours) so in case that time concerns you i believe that the red rocks are definitely worth seeing.",of sedona,
DailyDialog,R2\guide_10_conversation_E.txt,1,Hello. If you want a Southwest-style breakfast (on the spicy side) go to Martanne's (112 Historic Rte 66). For frou-frou breakfast with lots of options Toasted Owl is good (12 S Mikes Pike St). And tradition breakfast with big portions go to Mike & Ronda's The Place (21 S. Milton).,hello. if you want a southwest-style breakfast (on the spicy side) i guess you should visit martanne's (112 historic rte 66). i think ToastedOwl is good to have a frou-frou breakfast with many options (12 s mikes pike st). and tradition breakfast with big portions i'd prefer visiting mike & ronda's the place (21 s. milton).,toasted owl is good,i think toasted owl is good
DailyDialog,R2\guide_10_conversation_E.txt,1,Hello. If you want a Southwest-style breakfast (on the spicy side) go to Martanne's (112 Historic Rte 66). For frou-frou breakfast with lots of options Toasted Owl is good (12 S Mikes Pike St). And tradition breakfast with big portions go to Mike & Ronda's The Place (21 S. Milton).,hello. if you want a southwest-style breakfast (on the spicy side) i guess you should visit martanne's (112 historic rte 66). i think ToastedOwl is good to have a frou-frou breakfast with many options (12 s mikes pike st). and tradition breakfast with big portions i'd prefer visiting mike & ronda's the place (21 s. milton).,go to mike,i'd prefer visiting mike
DailyDialog,R2\guide_10_conversation_E.txt,1,Hello. If you want a Southwest-style breakfast (on the spicy side) go to Martanne's (112 Historic Rte 66). For frou-frou breakfast with lots of options Toasted Owl is good (12 S Mikes Pike St). And tradition breakfast with big portions go to Mike & Ronda's The Place (21 S. Milton).,hello. if you want a southwest-style breakfast (on the spicy side) i guess you should visit martanne's (112 historic rte 66). i think ToastedOwl is good to have a frou-frou breakfast with many options (12 s mikes pike st). and tradition breakfast with big portions i'd prefer visiting mike & ronda's the place (21 s. milton).,go to martanne's,i guess you should visit martanne's
DailyDialog,R2\guide_10_conversation_E.txt,2,"I would say the Grand Canyon it's iconic and on many ""bucket lists"". Sedona is closer however (30 minutes vs. 1.5 hours) so if you are pressed for time I would say that the red rocks of Sedona are definitely worth seeing.","i'd say the grand canyon it's iconic and on many ""bucket lists"". sedona is the closest one however (30 minutes vs. 1.5 hours) so in case that time concerns you i believe that the red rocks are definitely worth seeing.",if you're pressed for time,in case that time concerns you
DailyDialog,R2\guide_10_conversation_E.txt,1,Hello. If you want a Southwest-style breakfast (on the spicy side) go to Martanne's (112 Historic Rte 66). For frou-frou breakfast with lots of options Toasted Owl is good (12 S Mikes Pike St). And tradition breakfast with big portions go to Mike & Ronda's The Place (21 S. Milton).,hello. if you want a southwest-style breakfast (on the spicy side) i guess you should visit martanne's (112 historic rte 66). i think ToastedOwl is good to have a frou-frou breakfast with many options (12 s mikes pike st). and tradition breakfast with big portions i'd prefer visiting mike & ronda's the place (21 s. milton).,"to have a frou-frou breakfast with many options, i think toasted owl is good",i think ToastedOwl is good to have a frou-frou breakfast with many options
DailyDialog,R2\guide_10_conversation_E.txt,2,"I would say the Grand Canyon it's iconic and on many ""bucket lists"". Sedona is closer however (30 minutes vs. 1.5 hours) so if you are pressed for time I would say that the red rocks of Sedona are definitely worth seeing.","i'd say the grand canyon it's iconic and on many ""bucket lists"". sedona is the closest one however (30 minutes vs. 1.5 hours) so in case that time concerns you i believe that the red rocks are definitely worth seeing.",'d say that, believe that
DailyDialog,R2\guide_10_conversation_E.txt,2,"I would say the Grand Canyon it's iconic and on many ""bucket lists"". Sedona is closer however (30 minutes vs. 1.5 hours) so if you are pressed for time I would say that the red rocks of Sedona are definitely worth seeing.","i'd say the grand canyon it's iconic and on many ""bucket lists"". sedona is the closest one however (30 minutes vs. 1.5 hours) so in case that time concerns you i believe that the red rocks are definitely worth seeing.",is closer,is the closest one
DailyDialog,R2\guide_10_conversation_E.txt,2,"I would say the Grand Canyon it's iconic and on many ""bucket lists"". Sedona is closer however (30 minutes vs. 1.5 hours) so if you are pressed for time I would say that the red rocks of Sedona are definitely worth seeing.","i'd say the grand canyon it's iconic and on many ""bucket lists"". sedona is the closest one however (30 minutes vs. 1.5 hours) so in case that time concerns you i believe that the red rocks are definitely worth seeing.",  , 
DailyDialog,R2\guide_11_conversation_J.txt,2,The Grand Canyon Railway departs from Williams each morning around 9am. it is about a three hour ride to the Grand Canyon where you get off the train and have about 4 hours to explore the Grand Canyon on your own or you can add a bus tour to see the canyon during this time. Then you will get back on the train and arrive back in Williams at about 5:30pm.,the grand canyon railway departs from williams each morning around 9am. it's about a three hour ride to the grand canyon where you get off the train and you have 4 hours to explore the grand canyon on your own or you can take the buses to see the canyon . then you will get back and you arrive back in williams at 5:30pm.,it is ,it's 
DailyDialog,R2\guide_11_conversation_J.txt,2,The Grand Canyon Railway departs from Williams each morning around 9am. it is about a three hour ride to the Grand Canyon where you get off the train and have about 4 hours to explore the Grand Canyon on your own or you can add a bus tour to see the canyon during this time. Then you will get back on the train and arrive back in Williams at about 5:30pm.,the grand canyon railway departs from williams each morning around 9am. it's about a three hour ride to the grand canyon where you get off the train and you have 4 hours to explore the grand canyon on your own or you can take the buses to see the canyon . then you will get back and you arrive back in williams at 5:30pm.,have about 4 hours,have 4 hours
DailyDialog,R2\guide_11_conversation_J.txt,2,The Grand Canyon Railway departs from Williams each morning around 9am. it is about a three hour ride to the Grand Canyon where you get off the train and have about 4 hours to explore the Grand Canyon on your own or you can add a bus tour to see the canyon during this time. Then you will get back on the train and arrive back in Williams at about 5:30pm.,the grand canyon railway departs from williams each morning around 9am. it's about a three hour ride to the grand canyon where you get off the train and you have 4 hours to explore the grand canyon on your own or you can take the buses to see the canyon . then you will get back and you arrive back in williams at 5:30pm.,at about 5,at 5
DailyDialog,R2\guide_11_conversation_J.txt,2,The Grand Canyon Railway departs from Williams each morning around 9am. it is about a three hour ride to the Grand Canyon where you get off the train and have about 4 hours to explore the Grand Canyon on your own or you can add a bus tour to see the canyon during this time. Then you will get back on the train and arrive back in Williams at about 5:30pm.,the grand canyon railway departs from williams each morning around 9am. it's about a three hour ride to the grand canyon where you get off the train and you have 4 hours to explore the grand canyon on your own or you can take the buses to see the canyon . then you will get back and you arrive back in williams at 5:30pm.,during this time,
DailyDialog,R2\guide_11_conversation_J.txt,2,The Grand Canyon Railway departs from Williams each morning around 9am. it is about a three hour ride to the Grand Canyon where you get off the train and have about 4 hours to explore the Grand Canyon on your own or you can add a bus tour to see the canyon during this time. Then you will get back on the train and arrive back in Williams at about 5:30pm.,the grand canyon railway departs from williams each morning around 9am. it's about a three hour ride to the grand canyon where you get off the train and you have 4 hours to explore the grand canyon on your own or you can take the buses to see the canyon . then you will get back and you arrive back in williams at 5:30pm.,on the train,
DailyDialog,R2\guide_11_conversation_J.txt,2,The Grand Canyon Railway departs from Williams each morning around 9am. it is about a three hour ride to the Grand Canyon where you get off the train and have about 4 hours to explore the Grand Canyon on your own or you can add a bus tour to see the canyon during this time. Then you will get back on the train and arrive back in Williams at about 5:30pm.,the grand canyon railway departs from williams each morning around 9am. it's about a three hour ride to the grand canyon where you get off the train and you have 4 hours to explore the grand canyon on your own or you can take the buses to see the canyon . then you will get back and you arrive back in williams at 5:30pm.,add a bus tour,take the buses
DailyDialog,R2\guide_11_conversation_J.txt,2,The Grand Canyon Railway departs from Williams each morning around 9am. it is about a three hour ride to the Grand Canyon where you get off the train and have about 4 hours to explore the Grand Canyon on your own or you can add a bus tour to see the canyon during this time. Then you will get back on the train and arrive back in Williams at about 5:30pm.,the grand canyon railway departs from williams each morning around 9am. it's about a three hour ride to the grand canyon where you get off the train and you have 4 hours to explore the grand canyon on your own or you can take the buses to see the canyon . then you will get back and you arrive back in williams at 5:30pm.,and have 4,and you have 4
DailyDialog,R2\guide_11_conversation_J.txt,2,The Grand Canyon Railway departs from Williams each morning around 9am. it is about a three hour ride to the Grand Canyon where you get off the train and have about 4 hours to explore the Grand Canyon on your own or you can add a bus tour to see the canyon during this time. Then you will get back on the train and arrive back in Williams at about 5:30pm.,the grand canyon railway departs from williams each morning around 9am. it's about a three hour ride to the grand canyon where you get off the train and you have 4 hours to explore the grand canyon on your own or you can take the buses to see the canyon . then you will get back and you arrive back in williams at 5:30pm.,and arrive back,and you arrive back
DailyDialog,R2\guide_11_conversation_J.txt,2,The Grand Canyon Railway departs from Williams each morning around 9am. it is about a three hour ride to the Grand Canyon where you get off the train and have about 4 hours to explore the Grand Canyon on your own or you can add a bus tour to see the canyon during this time. Then you will get back on the train and arrive back in Williams at about 5:30pm.,the grand canyon railway departs from williams each morning around 9am. it's about a three hour ride to the grand canyon where you get off the train and you have 4 hours to explore the grand canyon on your own or you can take the buses to see the canyon . then you will get back and you arrive back in williams at 5:30pm.,  , 
DailyDialog,R2\guide_12_conversation_J.txt,3,Yeah this would be a nice trip. you would leave Flagstaff at 8:57 and it would be an over night train to Los Angles where you would transfer trains and head to Santa Barbra.,certainly i think this would be interesting. you'd leave flagstaff at 8:57 and you'd take an over night train to los angles where you'd transfer trains head to santa barbra.,you would ,you'd 
DailyDialog,R2\guide_12_conversation_J.txt,3,Yeah this would be a nice trip. you would leave Flagstaff at 8:57 and it would be an over night train to Los Angles where you would transfer trains and head to Santa Barbra.,certainly i think this would be interesting. you'd leave flagstaff at 8:57 and you'd take an over night train to los angles where you'd transfer trains head to santa barbra.,a nice trip,interesting
DailyDialog,R2\guide_12_conversation_J.txt,1,The Grand Canyon is what brings most of the visitors to Flagstaff.,i believe the grand canyon is what brings most visitors to flagstaff.,most of the visitors,most visitors
DailyDialog,R2\guide_12_conversation_J.txt,3,Yeah this would be a nice trip. you would leave Flagstaff at 8:57 and it would be an over night train to Los Angles where you would transfer trains and head to Santa Barbra.,certainly i think this would be interesting. you'd leave flagstaff at 8:57 and you'd take an over night train to los angles where you'd transfer trains head to santa barbra.,it would be an over,you'd take an over
DailyDialog,R2\guide_12_conversation_J.txt,1,The Grand Canyon is what brings most of the visitors to Flagstaff.,i believe the grand canyon is what brings most visitors to flagstaff.,the grand canyon is,i believe the grand canyon is
DailyDialog,R2\guide_12_conversation_J.txt,3,Yeah this would be a nice trip. you would leave Flagstaff at 8:57 and it would be an over night train to Los Angles where you would transfer trains and head to Santa Barbra.,certainly i think this would be interesting. you'd leave flagstaff at 8:57 and you'd take an over night train to los angles where you'd transfer trains head to santa barbra.,this would,i think this would
DailyDialog,R2\guide_12_conversation_J.txt,3,Yeah this would be a nice trip. you would leave Flagstaff at 8:57 and it would be an over night train to Los Angles where you would transfer trains and head to Santa Barbra.,certainly i think this would be interesting. you'd leave flagstaff at 8:57 and you'd take an over night train to los angles where you'd transfer trains head to santa barbra.,and he,he
DailyDialog,R2\guide_12_conversation_J.txt,3,Yeah this would be a nice trip. you would leave Flagstaff at 8:57 and it would be an over night train to Los Angles where you would transfer trains and head to Santa Barbra.,certainly i think this would be interesting. you'd leave flagstaff at 8:57 and you'd take an over night train to los angles where you'd transfer trains head to santa barbra.,yeah i,"certainly, i"
DailyDialog,R2\guide_13_conversation_J.txt,3,you are welcome,you're welcome,you are ,you're 
DailyDialog,R2\guide_13_conversation_J.txt,1,If you only have one hour in Flagstaff I would explore the historic downtown area. there are many shops local restaurants and art galleries in the area and this will give you a good feel for the community.,well having you only one hour in flagstaff i'd explore downtown. we have many shops restaurants and art galleries and this will give you a feel for the community.,i would,i'd
DailyDialog,R2\guide_13_conversation_J.txt,1,If you only have one hour in Flagstaff I would explore the historic downtown area. there are many shops local restaurants and art galleries in the area and this will give you a good feel for the community.,well having you only one hour in flagstaff i'd explore downtown. we have many shops restaurants and art galleries and this will give you a feel for the community.,local rest,rest
DailyDialog,R2\guide_13_conversation_J.txt,1,If you only have one hour in Flagstaff I would explore the historic downtown area. there are many shops local restaurants and art galleries in the area and this will give you a good feel for the community.,well having you only one hour in flagstaff i'd explore downtown. we have many shops restaurants and art galleries and this will give you a feel for the community.,good feel,feel
DailyDialog,R2\guide_13_conversation_J.txt,1,If you only have one hour in Flagstaff I would explore the historic downtown area. there are many shops local restaurants and art galleries in the area and this will give you a good feel for the community.,well having you only one hour in flagstaff i'd explore downtown. we have many shops restaurants and art galleries and this will give you a feel for the community.,in the area,
DailyDialog,R2\guide_13_conversation_J.txt,1,If you only have one hour in Flagstaff I would explore the historic downtown area. there are many shops local restaurants and art galleries in the area and this will give you a good feel for the community.,well having you only one hour in flagstaff i'd explore downtown. we have many shops restaurants and art galleries and this will give you a feel for the community.,the historic downtown area,downtown
DailyDialog,R2\guide_13_conversation_J.txt,2,A couple highlights are the historic two spot train the Hotel Monte Vista The Weatherford Hotel and the Nativity of the Blessed Virgin Mary Church.,i must highlight the historic two spot train the hotel monte vista the weatherford hotel and the nativity of the blessed virgin mary church.,a couple highlights are,i must highlight
DailyDialog,R2\guide_13_conversation_J.txt,1,If you only have one hour in Flagstaff I would explore the historic downtown area. there are many shops local restaurants and art galleries in the area and this will give you a good feel for the community.,well having you only one hour in flagstaff i'd explore downtown. we have many shops restaurants and art galleries and this will give you a feel for the community.,if you only,well if you only
DailyDialog,R2\guide_13_conversation_J.txt,1,If you only have one hour in Flagstaff I would explore the historic downtown area. there are many shops local restaurants and art galleries in the area and this will give you a good feel for the community.,well having you only one hour in flagstaff i'd explore downtown. we have many shops restaurants and art galleries and this will give you a feel for the community.,there are many,we have many
DailyDialog,R2\guide_13_conversation_J.txt,1,If you only have one hour in Flagstaff I would explore the historic downtown area. there are many shops local restaurants and art galleries in the area and this will give you a good feel for the community.,well having you only one hour in flagstaff i'd explore downtown. we have many shops restaurants and art galleries and this will give you a feel for the community.,if you only have,having you only
DailyDialog,R2\guide_13_conversation_J.txt,1,If you only have one hour in Flagstaff I would explore the historic downtown area. there are many shops local restaurants and art galleries in the area and this will give you a good feel for the community.,well having you only one hour in flagstaff i'd explore downtown. we have many shops restaurants and art galleries and this will give you a feel for the community.,  , 
DailyDialog,R2\guide_14_conversation_J.txt,1,No there is not a AA office in Flagstaff the closest one is located in Prescott which is about an hour and a half away. If you are looking for maps of Arizona Flagstaff or our surrounding states the Visitor Center can provide these to you for no charge.,no we don't have a aa office in flagstaff and you'll find the closest one in prescott which is roughly an hour and a half away. the visitor center can give you maps of arizona flagstaff or our surrounding states for no charge.,there is ,there's 
DailyDialog,R2\guide_14_conversation_J.txt,3,Inside the Visitor Center they can provide you with maps of the area there is a street map of Flagstaff that will show the area north of town as well.,inside the visitor center we can give you maps  we have a map of flagstaff that shows you the north of town as well.,there is ,there's 
DailyDialog,R2\guide_14_conversation_J.txt,1,No there is not a AA office in Flagstaff the closest one is located in Prescott which is about an hour and a half away. If you are looking for maps of Arizona Flagstaff or our surrounding states the Visitor Center can provide these to you for no charge.,no we don't have a aa office in flagstaff and you'll find the closest one in prescott which is roughly an hour and a half away. the visitor center can give you maps of arizona flagstaff or our surrounding states for no charge.,you are ,you're 
DailyDialog,R2\guide_14_conversation_J.txt,5,You are welcome,you're welcome,you are ,you're 
DailyDialog,R2\guide_14_conversation_J.txt,3,Inside the Visitor Center they can provide you with maps of the area there is a street map of Flagstaff that will show the area north of town as well.,inside the visitor center we can give you maps  we have a map of flagstaff that shows you the north of town as well.,street map,map
DailyDialog,R2\guide_14_conversation_J.txt,1,No there is not a AA office in Flagstaff the closest one is located in Prescott which is about an hour and a half away. If you are looking for maps of Arizona Flagstaff or our surrounding states the Visitor Center can provide these to you for no charge.,no we don't have a aa office in flagstaff and you'll find the closest one in prescott which is roughly an hour and a half away. the visitor center can give you maps of arizona flagstaff or our surrounding states for no charge.,about an hour and,roughly an hour and
DailyDialog,R2\guide_14_conversation_J.txt,1,No there is not a AA office in Flagstaff the closest one is located in Prescott which is about an hour and a half away. If you are looking for maps of Arizona Flagstaff or our surrounding states the Visitor Center can provide these to you for no charge.,no we don't have a aa office in flagstaff and you'll find the closest one in prescott which is roughly an hour and a half away. the visitor center can give you maps of arizona flagstaff or our surrounding states for no charge.,"for maps of arizona, flagstaff or our surrounding states, the visitor center can provide these to you","the visitor center can give you maps of arizona, flagstaff or our surrounding states"
DailyDialog,R2\guide_14_conversation_J.txt,3,Inside the Visitor Center they can provide you with maps of the area there is a street map of Flagstaff that will show the area north of town as well.,inside the visitor center we can give you maps  we have a map of flagstaff that shows you the north of town as well.,of the area,
DailyDialog,R2\guide_14_conversation_J.txt,2,Remax has an office in the downtown area they are located at the on North Humphreys street just before birch ave.,remax has an office in downtown and you'll find them at the on north humphreys street just before birch ave.,the downtown area,downtown
DailyDialog,R2\guide_14_conversation_J.txt,4,If you take highway 180 norther there are some neigborhoods that are a bit more rural near the San Francisco peaks. if you take highway 89 north you will find more rural neighborhoods called doney park. this is where many people with horses or other animal live.,you should take highway 180 norther we have some neigborhoods that are more rural near the san francisco peaks. or you should take highway 89 north you will find more rural neighborhoods like doney park. this is where many people with horses or other animal live.,a bit,
DailyDialog,R2\guide_14_conversation_J.txt,3,Inside the Visitor Center they can provide you with maps of the area there is a street map of Flagstaff that will show the area north of town as well.,inside the visitor center we can give you maps  we have a map of flagstaff that shows you the north of town as well.,the area north,the north
DailyDialog,R2\guide_14_conversation_J.txt,1,No there is not a AA office in Flagstaff the closest one is located in Prescott which is about an hour and a half away. If you are looking for maps of Arizona Flagstaff or our surrounding states the Visitor Center can provide these to you for no charge.,no we don't have a aa office in flagstaff and you'll find the closest one in prescott which is roughly an hour and a half away. the visitor center can give you maps of arizona flagstaff or our surrounding states for no charge.,no there's not a aa office,"no, we don't have a aa office"
DailyDialog,R2\guide_14_conversation_J.txt,3,Inside the Visitor Center they can provide you with maps of the area there is a street map of Flagstaff that will show the area north of town as well.,inside the visitor center we can give you maps  we have a map of flagstaff that shows you the north of town as well.,there's a map of flagstaff that will show,we have a map of flagstaff that shows
DailyDialog,R2\guide_14_conversation_J.txt,4,If you take highway 180 norther there are some neigborhoods that are a bit more rural near the San Francisco peaks. if you take highway 89 north you will find more rural neighborhoods called doney park. this is where many people with horses or other animal live.,you should take highway 180 norther we have some neigborhoods that are more rural near the san francisco peaks. or you should take highway 89 north you will find more rural neighborhoods like doney park. this is where many people with horses or other animal live.,there are some,we have some
DailyDialog,R2\guide_14_conversation_J.txt,3,Inside the Visitor Center they can provide you with maps of the area there is a street map of Flagstaff that will show the area north of town as well.,inside the visitor center we can give you maps  we have a map of flagstaff that shows you the north of town as well.,that shows,that shows you
DailyDialog,R2\guide_14_conversation_J.txt,1,No there is not a AA office in Flagstaff the closest one is located in Prescott which is about an hour and a half away. If you are looking for maps of Arizona Flagstaff or our surrounding states the Visitor Center can provide these to you for no charge.,no we don't have a aa office in flagstaff and you'll find the closest one in prescott which is roughly an hour and a half away. the visitor center can give you maps of arizona flagstaff or our surrounding states for no charge.,if you're looking ,
DailyDialog,R2\guide_14_conversation_J.txt,4,If you take highway 180 norther there are some neigborhoods that are a bit more rural near the San Francisco peaks. if you take highway 89 north you will find more rural neighborhoods called doney park. this is where many people with horses or other animal live.,you should take highway 180 norther we have some neigborhoods that are more rural near the san francisco peaks. or you should take highway 89 north you will find more rural neighborhoods like doney park. this is where many people with horses or other animal live.,if you take highway 180,you should take highway 180
DailyDialog,R2\guide_14_conversation_J.txt,4,If you take highway 180 norther there are some neigborhoods that are a bit more rural near the San Francisco peaks. if you take highway 89 north you will find more rural neighborhoods called doney park. this is where many people with horses or other animal live.,you should take highway 180 norther we have some neigborhoods that are more rural near the san francisco peaks. or you should take highway 89 north you will find more rural neighborhoods like doney park. this is where many people with horses or other animal live.,if you take highway 89,or you should take highway 89
DailyDialog,R2\guide_14_conversation_J.txt,3,Inside the Visitor Center they can provide you with maps of the area there is a street map of Flagstaff that will show the area north of town as well.,inside the visitor center we can give you maps  we have a map of flagstaff that shows you the north of town as well.,they can provide,we can provide
DailyDialog,R2\guide_14_conversation_J.txt,3,Inside the Visitor Center they can provide you with maps of the area there is a street map of Flagstaff that will show the area north of town as well.,inside the visitor center we can give you maps  we have a map of flagstaff that shows you the north of town as well.,provide you with,give you
DailyDialog,R2\guide_14_conversation_J.txt,2,Remax has an office in the downtown area they are located at the on North Humphreys street just before birch ave.,remax has an office in downtown and you'll find them at the on north humphreys street just before birch ave.,downtown they are located,downtown and you'll find them
DailyDialog,R2\guide_14_conversation_J.txt,1,No there is not a AA office in Flagstaff the closest one is located in Prescott which is about an hour and a half away. If you are looking for maps of Arizona Flagstaff or our surrounding states the Visitor Center can provide these to you for no charge.,no we don't have a aa office in flagstaff and you'll find the closest one in prescott which is roughly an hour and a half away. the visitor center can give you maps of arizona flagstaff or our surrounding states for no charge.,flagstaff the closest,flagstaff and the closest
